4,4
12,5
15,9
17,15
21,17
25,25
4,4
12,5
15,9
17,15
21,17
4,4
12,5
4,4
12,5
15,9
4,4
12,5
15,9
17,15
21,17
25,25
4,4
12,5
15,9
17,15
21,17
25,25
4,4
4,4
12,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
12,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
12,5
4,4
4,4
12,5
12,10
1,1
4,4
12,5
4,4
12,5
12,10
17,13
21,17
25,25
4,4
4,4
12,5
12,10
17,13
21,17
25,25
4,4
4,4
4,4
4,4
4,4
4,4
4,4
12,5
12,10
4,4
4,4
12,5
4,4
4,4
4,4
12,5
12,10
1,1
4,4
4,4
12,5
12,10
4,4
12,5
12,10
4,4
12,5
12,10
17,13
21,17
25,25
4,4
12,5
12,10
17,13
21,17
25,25
4,4
12,5
12,10
17,13
21,17
25,25
4,4
12,5
12,10
17,13
21,17
25,25
4,4
12,5
12,10
4,4
4,4
12,5
4,4
12,5
12,10
17,13
21,17
25,25
4,8
4,4
12,5
2,3
4,4
12,5
2,3
4,4
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
54,47
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
223,210
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
223,210
235,234
269,251
306,278
350,322
374,340
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
43,32
54,47
43,32
54,47
88,81
132,125
162,140
163,145
170,152
43,32
54,47
88,81
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
223,210
235,234
269,251
306,278
350,322
374,340
380,352
392,361
409,378
420,389
437,412
454,429
495,470
507,487
538,518
553,529
577,561
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
223,210
235,234
269,251
306,278
350,322
43,32
54,47
88,81
132,125
162,140
163,145
170,152
43,32
43,32
54,47
43,32
43,32
54,47
88,81
132,125
162,140
163,145
170,152
178,165
198,185
223,210
235,234
43,32
43,32
43,32
43,32
43,32
54,47
4,4
12,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
12,5
12,10
16,14
21,17
25,25
4,4
12,5
12,10
16,14
21,17
25,25
43,32
54,47
88,81
132,125
162,140
